代码,名称,AB股总市值,B股(或A),H股,上市日期,买量,人均市值,人均持股,今开,公积金,内外比,内盘,净利润,净利润率%%,净益率%%,净资产,利润同比%%,利润总额,卖量,固定资产,地区,均价,外盘,存货,少数股权,市净率,市现率,市盈(动),市销率,应收帐款,强弱度%%,总现金流,总股本(万),总资产(万),总金额,投资收益,振幅%%,换手%%,收入同比%%,无形资产,昨收,最低,最高,未分利润,未匹配量,权益比,每笔均量,每笔换手,每股公积,每股净资,每股收益,每股未分配,活跃度,流动负债,流动资产,流通市值,流通股本(万),涨速%%,税后利润,细分行业,经营现金流,股东人数,营业利润,营业利润率%%,营业成本,营业收入,调整后净资,财务更新,资产负债率%%,量比,销售毛利率%%
000001,平安银行,       1694.15亿,0.0,0.0,19910403.0,549520.0,33.41万,28220.0,11.18,5932600.0,1.21,1539485.0,1158500.0,24.87,          7.68㈡,15088000.0,15.02,1525900.0,3379.0,369000.0,深圳,11.63,1276261.0,0.0,0.0,1.12,0.93,7.31,3.64,0.0,3.39,20429900.0,1430867.63,257050800.0,3273803264.0,210400.0,8.12,2.39,34.09,506400.0,11.57,11.06,12.0,5325300.0,--  ,5.87,636.0,0.0005,4.15,10.54,0.840㈡,3.72,4427.0,0.0,0.0,       1397.60亿,1180405.5,0.33,1158500.0,银行,18252200.0,418294.0,1526700.0,32.78,0.0,4657500.0,0.0,20150814.0,94.13,1.4,--  
000002,万  科Ａ,       1384.05亿,0.0,131495.55,19910129.0,404907.0,28.83万,20276.0,13.77,832910.63,1.76,1462468.0,484627.91,9.64,          5.55㈡,8727269.0,0.77,877700.81,5013.0,376758.91,深圳,14.02,832228.0,33304668.0,3052716.25,1.8,-23.08,16.21,3.13,189773.2,0.99,-1788333.0,1104805.75,53693768.0,3218100480.0,91569.05,6.04,2.36,22.72,95321.3,14.23,13.47,14.33,4131856.75,--  ,16.25,526.0,0.0005,0.75,7.9,0.439㈡,3.74,4366.0,37896760.0,48999152.0,       1381.86亿,971771.56,0.14,678948.19,全国地产,-680835.56,479264.0,871893.38,17.35,3496081.5,5026680.0,0.0,20150817.0,78.06,1.33,30.45
000004,国农科技,         21.94亿,0.0,0.0,19910114.0,48.0,20.07万,7682.0,27.0,66.45,0.87,29147.0,121.21,2.04,          1.49㈡,8148.8,125.75,656.52,865.0,3879.12,深圳,27.89,33636.0,21844.92,8030.71,26.93,-337.1,905.17,36.85,189.92,-8.08,-1414.32,8397.66,34866.01,175093968.0,-12.77,15.82,7.49,117.08,2073.56,28.76,25.95,30.5,-1421.96,--  ,23.37,23.0,0.0028,0.01,0.97,0.014㈡,-0.17,2692.0,15606.5,27242.49,         21.92亿,8387.54,-1.02,441.06,生物制药,-650.93,10919.0,653.59,10.98,3813.68,5954.58,0.0,20150827.0,53.6,0.79,35.95
000005,世纪星源,         53.76亿,0.0,0.0,19901210.0,0.0,3.48万,5924.0,--  ,26976.98,--  ,0.0,-2318.85,-63.91,         -3.59㈡,64652.65,8.05,-2318.85,0.0,2536.1,深圳,5.88,0.0,1537.31,0.0,8.32,155.1,--  ,148.17,202.3,1.06,-16.02,91433.35,134159.73,0.0,0.0,0.0,0.0,52.1,0.0,5.88,--  ,--  ,-53772.11,--  ,48.19,--  ,--  ,0.3,0.71,-0.025㈡,-0.59,0.0,64479.3,22245.8,         53.73亿,91374.29,--  ,-2318.85,区域地产,3466.26,154249.0,-2342.8,-64.57,2542.65,3628.53,0.0,20150725.0,51.81,0.0,29.93
000006,深振业Ａ,        127.30亿,0.0,0.0,19920427.0,3542.0,14.33万,15192.0,8.85,48432.15,1.42,318448.0,25808.27,12.76,          6.09㈡,423437.09,425.18,36046.1,6513.0,368.26,深圳,9.3,224092.0,613334.5,9030.92,3.01,-20.19,24.66,6.29,1653.99,-0.2,-22436.9,134999.5,1177059.88,504695104.0,-17.1,13.82,4.04,311.53,0.0,9.55,8.7,10.02,135391.48,--  ,35.97,141.0,0.0011,0.36,3.14,0.191㈡,1.0,3848.0,455966.94,953584.13,        126.50亿,134148.73,-0.63,26838.01,区域地产,-63061.38,88304.0,36261.76,17.93,134026.16,202261.44,0.0,20150829.0,63.26,0.82,33.74
000007,零七股份,         67.37亿,0.0,0.0,19920413.0,0.0,44.26万,15172.0,--  ,42324.12,--  ,0.0,-744.21,-12.74,         -2.14㈡,34805.05,-89.72,-857.02,0.0,7468.37,深圳,29.17,0.0,1665.3,79.1,19.36,106.08,--  ,115.33,5251.16,1.06,-7234.31,23096.53,52609.05,0.0,409.82,0.0,0.0,0.6,27.22,29.17,--  ,--  ,-31658.18,--  ,66.16,--  ,--  ,1.83,1.51,-0.032㈡,-1.37,0.0,16344.87,31310.49,         60.06亿,20588.71,--  ,-971.74,酒店餐饮,6351.18,13570.0,-774.7,-13.26,1096.3,5841.53,0.0,20150829.0,33.69,0.0,81.23
000008,神州高铁,        164.64亿,0.0,0.0,19920507.0,1710.0,43.27万,21106.0,20.02,192500.55,0.64,32875.0,6996.8,14.03,          2.51㈡,278995.59,710.43,9645.74,390.0,42377.51,深圳,20.78,51034.0,33559.81,0.0,5.9,-164.8,117.66,33.02,49561.87,-2.01,4792.93,80314.42,327846.84,174404592.0,1252.7,11.82,3.93,245.04,6036.56,21.15,19.5,22.0,4418.21,--  ,85.1,33.0,0.0015,2.4,3.47,0.087㈡,0.06,2560.0,46795.64,136491.92,         43.79亿,21359.4,-0.24,7709.85,综合类,-9990.44,10120.0,8084.75,16.21,27972.4,49859.95,0.0,20150829.0,14.9,0.97,43.9
000009,中国宝安,        156.03亿,0.0,0.0,19910625.0,49991.0,12.38万,12636.0,9.2,51620.25,1.18,522938.0,11843.71,5.94,          3.17㈡,373612.31,-48.53,26335.6,130.0,168079.13,深圳,9.67,444144.0,622396.88,194501.09,4.18,-194.41,65.87,7.82,88377.25,-0.45,-51654.51,159210.73,1534307.5,934755712.0,22453.46,11.76,6.49,9.97,55227.3,9.95,9.03,10.2,144927.2,--  ,24.35,223.0,0.0015,0.32,2.35,0.074㈡,0.91,4345.0,585934.63,1017441.31,        145.99亿,148966.91,0.1,22884.32,全国地产,-8025.58,117894.0,22138.15,11.1,128855.32,199482.19,0.0,20150828.0,62.97,0.85,35.41
000010,深华新,         35.46亿,0.0,0.0,19951027.0,814.0,6.15万,10199.0,6.01,12939.0,1.08,94768.0,162.55,0.4,          0.30㈡,54813.01,125.34,998.77,323.0,4401.43,北京,6.27,87958.0,22179.89,463.45,6.47,-16.14,1090.76,8.73,7223.43,-5.45,-6442.99,58806.98,188770.95,114543728.0,0.0,12.09,5.1,279.01,519.62,6.45,6.01,6.79,-18060.1,--  ,29.04,66.0,0.0018,0.22,0.93,0.003㈡,-0.31,2759.0,110640.88,67797.88,         21.60亿,35815.75,-0.65,94.39,建筑施工,-21972.14,35116.0,1089.89,2.68,34733.4,40606.71,0.0,20150818.0,70.72,0.61,14.46
000011,深物业A,         51.14亿,6760.52,0.0,19920330.0,1384.0,4.29万,4995.0,8.43,11995.15,1.15,86911.0,3116.28,9.2,          1.58㈡,197133.92,-72.19,4252.48,1201.0,7110.31,深圳,8.84,75538.0,249322.77,0.0,2.59,-23.04,82.04,15.09,4033.12,-6.18,-32573.05,59597.91,375656.88,143588000.0,676.75,14.59,9.24,-32.43,9621.62,9.25,8.33,9.68,112577.42,--  ,52.48,57.0,0.0032,0.2,3.31,0.052㈡,1.89,2874.0,157451.81,305899.88,         15.09亿,17586.25,-0.23,3116.28,区域地产,-22190.9,35206.0,4306.16,12.71,19905.4,33876.12,0.0,20150816.0,47.52,0.77,41.24
